URL,URL,UniqueAbbridged,09/27_Sum,10/29_Sum,Total
http://dmsreports.corp.oncor.com/DMSReports/MWM/OverdueOrder/#/,MWM/OverdueOrder/#/,MWM/OverdueOrder/,0,4,1
http://dmsreports.corp.oncor.com/DMSReports/MWM/OverdueOrder/Summary/#/,MWM/OverdueOrder/Summary/#/,MWM/OverdueOrder/Summary/,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/MWM/ScheduledOrders/SummaryByDgroup/#/,MWM/ScheduledOrders/SummaryByDgroup/#/,MWM/ScheduledOrders/SummaryByDgroup/,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/MWM/SearchOrders/#/,MWM/SearchOrders/#/,MWM/SearchOrders/,73,140,1
http://dmsreports.corp.oncor.com/DMSReports/MWM/Summary,MWM/Summary,MWM/Summary,0,5,1
http://dmsreports.corp.oncor.com/DMSReports/MWM/Support/UnitLookup/,MWM/Support/UnitLookup/,MWM/Support/UnitLookup/,31,68,1
http://dmsreports.corp.oncor.com/DMSReports/NodeAccess/,NodeAccess/,NodeAccess/,37,131,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/AMI/Events#/System/All/,OMS/AMI/Events#/System/All/,OMS/AMI/Events,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/AMI/PingResponseForMeter#/,OMS/AMI/PingResponseForMeter#/,OMS/AMI/PingResponseForMeter,0,22,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/AMI/PingResponseForPremise#/,OMS/AMI/PingResponseForPremise#/,OMS/AMI/PingResponseForPremise,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/AMI/ResponsesByEvent/#/,OMS/AMI/ResponsesByEvent/#/,OMS/AMI/ResponsesByEvent/,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/AMI/RestorationResponse#/System/All/,OMS/AMI/RestorationResponse#/System/All/,OMS/AMI/RestorationResponse,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/AMI/SearchRequests,OMS/AMI/SearchRequests,OMS/AMI/SearchRequests,0,0,0
http://dmsreports.corp.oncor.com/DMSReports/OMS/CallSearch/#/System/All/,OMS/CallSearch/#/System/All/,OMS/CallSearch/,21,40,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Claim/History#/System/All/,OMS/Claim/History#/System/All/,OMS/Claim/History,203,188,1
http://dmsreports.corp.oncor.com/DMSReports/OMS/Device/Abnormal#/System/All/,OMS/Device/Abnormal#/System/All/,OMS/Device/Abnormal,11,0,1
